车次,trip_id,方向,计划股道,上一站,下一站,接车侧咽喉,发车侧咽喉,计划到达时刻,计划出发时刻,停留时间(分钟),inbound_operation_duration_min,minimum_track_occupation_min,outbound_operation_duration_min
ICE1043,1280002,到达,13,前方站,后方站,东咽喉,西咽喉,08:14:00,08:20:00,6,12,6,11
ICE1496,863002,出发,4,前方站,后方站,西咽喉,东咽喉,08:18:00,08:25:00,7,10,7,12
ICE624,191682,到达,15,前方站,后方站,东咽喉,西咽喉,08:29:00,08:29:00,2,8,2,10
ICE822,1209674,出发,17,前方站,后方站,西咽喉,东咽喉,08:30:00,08:30:00,2,7,2,11
ICE981,1288734,到达,19,前方站,后方站,西咽喉,东咽喉,08:33:00,08:33:00,2,6,2,6
ICE667,134333,出发,9,前方站,后方站,西咽喉,东咽喉,08:33:00,08:33:00,2,11,2,7
ICE1143,1210934,到达,11,前方站,后方站,西咽喉,东咽喉,08:33:00,08:33:00,2,12,2,8
ICE1147,310136,出发,27,前方站,后方站,东咽喉,西咽喉,08:37:00,08:37:00,2,6,2,12
ICE650,1075565,到达,21,前方站,后方站,东咽喉,西咽喉,08:37:00,08:43:00,6,7,6,12
ICE1256,1594099,出发,23,前方站,后方站,西咽喉,东咽喉,08:37:00,08:37:00,2,6,2,9
ICE516,89246,到达,25,前方站,后方站,东咽喉,西咽喉,08:37:00,08:43:00,6,8,6,9
ICE736,518221,出发,29,前方站,后方站,东咽喉,西咽喉,08:37:00,08:37:00,2,11,2,12
ICE1202,338162,到达,12,前方站,后方站,西咽喉,东咽喉,08:37:00,08:43:00,6,8,6,7
ICE1367,864733,出发,14,前方站,后方站,东咽喉,西咽喉,08:40:00,08:46:00,6,8,6,8
ICE830,1491907,到达,6,前方站,后方站,东咽喉,西咽喉,08:40:00,08:46:00,6,7,6,11
ICE654,1087125,出发,18,前方站,后方站,东咽喉,西咽喉,08:40:00,08:46:00,6,8,6,11
ICE803,708174,到达,20,前方站,后方站,西咽喉,东咽喉,08:43:00,08:43:00,2,11,2,11
ICE1011,1161893,出发,8,前方站,后方站,东咽喉,西咽喉,08:43:00,08:43:00,2,6,2,10
ICE984,378429,到达,16,前方站,后方站,东咽喉,西咽喉,08:44:00,08:50:00,6,11,6,7
ICE1343,1294101,出发,10,前方站,后方站,东咽喉,西咽喉,08:44:00,08:50:00,6,10,6,11
ICE579,1398513,到达,26,前方站,后方站,东咽喉,西咽喉,08:46:00,09:09:00,23,7,23,7
ICE956,116625,出发,22,前方站,后方站,西咽喉,东咽喉,08:48:00,09:11:00,23,9,23,9
ICE1219,1456766,到达,24,前方站,后方站,东咽喉,西咽喉,08:49:00,08:49:00,2,8,2,11
ICE1034,716027,出发,28,前方站,后方站,西咽喉,东咽喉,08:49:00,08:49:00,2,11,2,10
ICE1142,1261342,到达,7,前方站,后方站,西咽喉,东咽喉,08:49:00,08:49:00,2,7,2,11
ICE590,614528,出发,13,前方站,后方站,东咽喉,西咽喉,08:50:00,08:50:00,2,8,2,12
ICE1245,1620337,到达,3,前方站,后方站,西咽喉,东咽喉,08:50:00,08:50:00,2,12,2,12
ICE1538,1073135,出发,5,前方站,后方站,西咽喉,东咽喉,08:50:00,08:50:00,2,6,2,7
ICE760,1193098,到达,2,前方站,后方站,西咽喉,东咽喉,08:51:00,08:57:00,6,12,6,6
ICE1116,1482479,出发,15,前方站,后方站,西咽喉,东咽喉,08:51:00,08:51:00,2,12,2,8
ICE1159,1460120,到达,1,前方站,后方站,西咽喉,东咽喉,08:51:00,08:57:00,6,9,6,8
ICE673,1648254,出发,11,前方站,后方站,西咽喉,东咽喉,08:51:00,08:57:00,6,6,6,7
ICE960,186759,到达,19,前方站,后方站,东咽喉,西咽喉,08:53:00,08:53:00,2,10,2,11
ICE649,84354,出发,17,前方站,后方站,西咽喉,东咽喉,08:53:00,08:53:00,2,8,2,7
ICE1318,1026166,到达,4,前方站,后方站,西咽喉,东咽喉,08:53:00,08:53:00,2,11,2,9
ICE1451,1102581,出发,9,前方站,后方站,西咽喉,东咽喉,08:55:00,08:55:00,2,9,2,11
ICE1149,905147,到达,12,前方站,后方站,东咽喉,西咽喉,08:55:00,08:55:00,2,9,2,7
ICE1413,13132,出发,21,前方站,后方站,东咽喉,西咽喉,08:56:00,09:02:00,6,8,6,7
ICE1567,891540,到达,25,前方站,后方站,西咽喉,东咽喉,09:02:00,09:08:00,6,7,6,11
ICE980,971228,出发,20,前方站,后方站,西咽喉,东咽喉,09:02:00,09:08:00,6,10,6,10
ICE1284,1208481,到达,6,前方站,后方站,东咽喉,西咽喉,09:09:00,09:15:00,6,8,6,11
ICE1454,1616226,出发,27,前方站,后方站,西咽喉,东咽喉,09:09:00,09:15:00,6,10,6,9
ICE1279,1605418,到达,29,前方站,后方站,西咽喉,东咽喉,09:09:00,09:15:00,6,10,6,9
ICE951,762208,出发,16,前方站,后方站,西咽喉,东咽喉,09:09:00,09:15:00,6,8,6,7
ICE1328,907805,到达,23,前方站,后方站,东咽喉,西咽喉,09:09:00,09:15:00,6,7,6,10
ICE555,536476,出发,24,前方站,后方站,西咽喉,东咽喉,09:12:00,09:12:00,2,9,2,6
ICE1276,443233,到达,8,前方站,后方站,西咽喉,东咽喉,09:13:00,09:19:00,6,12,6,6
ICE1016,911832,出发,14,前方站,后方站,东咽喉,西咽喉,09:14:00,09:20:00,6,12,6,6
ICE959,572028,到达,18,前方站,后方站,东咽喉,西咽喉,09:14:00,09:20:00,6,7,6,11
ICE812,1181464,出发,28,前方站,后方站,西咽喉,东咽喉,09:14:00,09:20:00,6,7,6,12
ICE1024,584188,到达,7,前方站,后方站,东咽喉,西咽喉,09:14:00,09:20:00,6,11,6,9
ICE835,665962,出发,10,前方站,后方站,东咽喉,西咽喉,09:22:00,09:22:00,2,10,2,6
ICE1312,1578959,到达,26,前方站,后方站,东咽喉,西咽喉,09:22:00,09:22:00,2,9,2,9
ICE708,659153,出发,22,前方站,后方站,东咽喉,西咽喉,09:27:00,09:27:00,2,10,2,9
ICE1211,1477945,到达,3,前方站,后方站,东咽喉,西咽喉,09:27:00,09:27:00,2,10,2,8
ICE1360,1272608,出发,4,前方站,后方站,东咽喉,西咽喉,09:27:00,09:27:00,2,10,2,12
ICE1391,1550843,到达,19,前方站,后方站,西咽喉,东咽喉,09:32:00,09:42:00,10,6,10,11
ICE1452,1564207,出发,1,前方站,后方站,西咽喉,东咽喉,09:32:00,09:32:00,2,11,2,6
ICE1423,668484,到达,2,前方站,后方站,西咽喉,东咽喉,09:32:00,09:42:00,10,11,10,10
ICE558,811823,出发,12,前方站,后方站,西咽喉,东咽喉,09:32:00,09:42:00,10,12,10,8
ICE1197,835474,到达,13,前方站,后方站,西咽喉,东咽喉,09:32:00,09:42:00,10,12,10,11
ICE891,1153959,出发,15,前方站,后方站,西咽喉,东咽喉,09:32:00,09:42:00,10,8,10,6
ICE1505,1019978,到达,5,前方站,后方站,西咽喉,东咽喉,09:32:00,09:32:00,2,8,2,9
ICE1127,1352549,出发,17,前方站,后方站,东咽喉,西咽喉,09:34:00,09:34:00,2,7,2,9
ICE1177,1685086,到达,9,前方站,后方站,西咽喉,东咽喉,09:34:00,09:34:00,2,6,2,11
ICE894,180950,出发,11,前方站,后方站,西咽喉,东咽喉,09:34:00,09:34:00,2,11,2,8
ICE1066,57325,到达,25,前方站,后方站,东咽喉,西咽喉,09:34:00,09:34:00,2,10,2,12
ICE965,964463,出发,21,前方站,后方站,西咽喉,东咽喉,09:35:00,09:35:00,2,7,2,10
ICE593,390502,到达,6,前方站,后方站,东咽喉,西咽喉,09:35:00,09:35:00,2,6,2,12
ICE710,1421517,出发,23,前方站,后方站,东咽喉,西咽喉,09:37:00,09:43:00,6,11,6,8
ICE877,606430,到达,29,前方站,后方站,东咽喉,西咽喉,09:37:00,09:43:00,6,12,6,11
ICE651,1427469,出发,20,前方站,后方站,东咽喉,西咽喉,09:37:00,09:43:00,6,10,6,10
ICE1008,568256,到达,8,前方站,后方站,西咽喉,东咽喉,09:37:00,09:43:00,6,7,6,7
ICE1279,587556,出发,18,前方站,后方站,西咽喉,东咽喉,09:37:00,09:43:00,6,8,6,12
ICE623,749585,到达,24,前方站,后方站,东咽喉,西咽喉,09:37:00,09:43:00,6,7,6,10
IC260,104837,出发,26,前方站,后方站,西咽喉,东咽喉,09:40:00,09:46:00,6,12,6,10
IC805,1504965,到达,16,前方站,后方站,东咽喉,西咽喉,09:40:00,09:46:00,6,6,6,10
IC819,1553549,出发,27,前方站,后方站,东咽喉,西咽喉,09:40:00,09:46:00,6,8,6,9
IC777,380773,到达,7,前方站,后方站,东咽喉,西咽喉,09:40:00,09:46:00,6,6,6,6
IC372,401760,出发,14,前方站,后方站,东咽喉,西咽喉,09:40:00,09:46:00,6,8,6,12
IC395,557958,到达,28,前方站,后方站,西咽喉,东咽喉,09:40:00,09:46:00,6,12,6,8
ICE1524,1032538,出发,10,前方站,后方站,东咽喉,西咽喉,09:42:00,09:42:00,2,7,2,6
ICE1012,1642350,到达,3,前方站,后方站,西咽喉,东咽喉,09:42:00,09:42:00,2,7,2,10
ICE582,1686949,出发,22,前方站,后方站,东咽喉,西咽喉,09:42:00,09:42:00,2,6,2,6
ICE871,26119,到达,5,前方站,后方站,东咽喉,西咽喉,09:44:00,09:50:00,6,11,6,9
ICE1336,939703,出发,9,前方站,后方站,西咽喉,东咽喉,09:44:00,09:44:00,2,12,2,6
ICE1090,211515,到达,25,前方站,后方站,东咽喉,西咽喉,09:44:00,09:44:00,2,12,2,10
ICE1016,954841,出发,6,前方站,后方站,西咽喉,东咽喉,09:44:00,09:44:00,2,12,2,7
ICE1346,1146483,到达,4,前方站,后方站,西咽喉,东咽喉,09:44:00,09:44:00,2,7,2,11
ICE605,1057719,出发,1,前方站,后方站,西咽喉,东咽喉,09:44:00,09:44:00,2,9,2,10
ICE748,646555,到达,2,前方站,后方站,西咽喉,东咽喉,09:44:00,09:44:00,2,7,2,8
ICE528,101572,出发,13,前方站,后方站,东咽喉,西咽喉,09:44:00,09:44:00,2,10,2,12
ICE1520,1487779,到达,19,前方站,后方站,东咽喉,西咽喉,09:44:00,09:50:00,6,10,6,9
ICE1467,1400964,出发,8,前方站,后方站,西咽喉,东咽喉,09:44:00,09:50:00,6,7,6,10
ICE779,580821,到达,24,前方站,后方站,东咽喉,西咽喉,09:44:00,09:44:00,2,12,2,11
ICE1079,358439,出发,29,前方站,后方站,东咽喉,西咽喉,09:49:00,09:49:00,2,11,2,7
ICE1491,978087,到达,11,前方站,后方站,西咽喉,东咽喉,09:49:00,09:49:00,2,11,2,8
ICE989,473425,出发,16,前方站,后方站,东咽喉,西咽喉,09:51:00,09:57:00,6,9,6,11
ICE1280,1342404,到达,21,前方站,后方站,西咽喉,东咽喉,09:51:00,09:57:00,6,11,6,8
ICE1179,595430,出发,28,前方站,后方站,东咽喉,西咽喉,09:51:00,09:57:00,6,9,6,10
ICE1339,935246,到达,3,前方站,后方站,东咽喉,西咽喉,09:56:00,10:02:00,6,9,6,6
ICE1314,1311353,出发,17,前方站,后方站,东咽喉,西咽喉,09:56:00,10:03:00,7,7,7,7
ICE573,1348727,到达,10,前方站,后方站,东咽喉,西咽喉,09:56:00,10:02:00,6,6,6,8
ICE1388,186681,出发,12,前方站,后方站,东咽喉,西咽喉,09:56:00,10:02:00,6,6,6,10
ICE594,355571,到达,2,前方站,后方站,西咽喉,东咽喉,09:56:00,10:03:00,7,10,7,7
